acronym,name,region,home_page_url,link,n_publication,
FAO,Food and Agriculture Organization,Global,https://www.fao.org,https://www.fao.org/publications/home/fao-flagship-publications/en,NA,
FAO,Food and Agriculture Organization,Africa,https://www.fao.org,https://www.fao.org/africa/resources/publications/en/,85,
FAO,Food and Agriculture Organization,Asia and the Pacific (RAP),https://www.fao.org,https://www.fao.org/asiapacific/resources/pacific-publications/en/,25,
FAO,Food and Agriculture Organization, Europe and Central Asia (REU),https://www.fao.org,https://www.fao.org/europe/resources/en,120,
FAO,Food and Agriculture Organization,Latin America and the Caribbean (RLC),https://www.fao.org,https://www.fao.org/americas/publicaciones-audio-video/publicaciones/en/,320,
FAO,Food and Agriculture Organization,Near East and North Africa (RNE),https://www.fao.org,https://www.fao.org/nena/index.php/resources/publications,7,
ILO,International Labour Organization,Global,https://www.ilo.org,https://www.ilo.org/Global/research/Global-reports/lang--en/index.htm,49,
ILO,International Labour Organization,Global,https://www.ilo.org,https://www.ilo.org/Global/publications/books/lang--en/index.htm,1010,
ILO,International Labour Organization,Beirut,https://www.ilo.org,https://www.ilo.org/beirut/publications/lang--ar/index.htm,380,
ILO,International Labour Organization,Latin America and the Caribbean,https://www.ilo.org,https://www.ilo.org/americas/publicaciones/lang--es/index.htm,470,
ILO,International Labour Organization,Central America,https://www.ilo.org,https://www.ilo.org/sanjose/publicaciones/lang--es/index.htm,450,
ILO,International Labour Organization,Philippines,https://www.ilo.org,https://www.ilo.org/manila/publications/lang--en/index.htm,920,
ICAO,International Civil Aviation Organization,Global,https://www.icao.int,https://www.icao.int/publications/Pages/default.aspx,NA,
IMO,International Maritime Organization,Global,https://www.imo.org,https://www.imo.org/en/publications/,200,Payment required
ITU,International Telecommunication Union,Global,https://www.itu.int,https://www.itu.int/en/publications/Pages/Epub.aspx,NA,
UNAIDS,Joint United Nations Programme on HIV/AIDS,Global,https://www.unaids.org,https://www.unaids.org/en/resources/publications/all,NA,
UNCDF,UN Capital Development Fund,Global,https://www.uncdf.org,https://www.uncdf.org/mm4p/publications,121,
UNICEF,United Nations Children's Fund,Global,https://www.unicef.org,https://www.unicef.org/reports,564,
UNICEF,United Nations Children's Fund,East Asia and Pacific,https://www.unicef.org,https://www.unicef.org/eap/research-reports,228,
